Date,Drive,TotalSizeGB,UsedSpaceGB,FreeSpaceGB,FreeSpacePercent
8/1/2025 14:46,C:,199.46,63.92,135.54,67.95
8/1/2025 14:46,D:,192,65.56,126.44,65.85
8/11/2025 14:46,E:,1000,967.53,32.47,3.25
8/1/2025 14:46,F:,3999.98,3632.54,367.44,9.19
9/1/2025 9:26,C:,199.46,63.03,136.43,68.4
9/1/2025 9:26,D:,192,65.56,126.44,65.85
9/1/2025 9:26,E:,1000,967.53,32.47,3.25
9/1/2025 9:26,F:,3999.98,3647.15,352.83,8.82
10/1/2025 10:49,C:,199.46,65.25,134.21,67.29
10/1/2025 10:49,D:,192,65.56,126.44,65.85
10/1/2025 10:49,E:,1000,967.53,32.47,3.25
10/1/2025 10:49,F:,3999.98,3882.12,117.86,2.95
11/1/2025 13:43,C:,199.46,61.05,138.41,69.39
11/1/2025 13:43,D:,192,65.56,126.44,65.85
11/1/2025 13:43,E:,1000,967.53,32.47,3.25
11/1/2025 13:43,F:,3999.98,3644.57,355.41,8.89
